Name,SITES API
Type,Managed placement (domain)
Frequency,Daily
Date range,Last 14 days
Dates,"Aug 30, 2012-Sep 12, 2012"
Account,Day,Network,Placement,Campaign,Client name,Impressions,Clicks,Cost
City Ventures,2012-09-05,Display Network,allrecipes.com,CTVN01_150k,City Ventures,3,0,0.00
City Ventures,2012-09-06,Display Network,allrecipes.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-07,Display Network,allrecipes.com,CTVN01_150k,City Ventures,4,0,0.00
City Ventures,2012-09-08,Display Network,allrecipes.com,CTVN01_150k,City Ventures,4,0,0.00
City Ventures,2012-09-09,Display Network,allrecipes.com,CTVN01_150k,City Ventures,3,0,0.00
City Ventures,2012-09-10,Display Network,allrecipes.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-11,Display Network,allrecipes.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-12,Display Network,allrecipes.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-05,Display Network,healthgrades.com,CTVN01_150k,City Ventures,2,0,0.00
City Ventures,2012-09-07,Display Network,healthgrades.com,CTVN01_150k,City Ventures,4,0,0.00
City Ventures,2012-09-12,Display Network,healthgrades.com,CTVN01_150k,City Ventures,2,0,0.00
City Ventures,2012-08-30,Display Network,tmz.com,CTVN01_150k,City Ventures,110,0,0.06
City Ventures,2012-08-31,Display Network,tmz.com,CTVN01_150k,City Ventures,216,0,0.10
City Ventures,2012-09-01,Display Network,tmz.com,CTVN01_150k,City Ventures,287,0,0.15
City Ventures,2012-09-02,Display Network,tmz.com,CTVN01_150k,City Ventures,393,1,0.18
City Ventures,2012-09-03,Display Network,tmz.com,CTVN01_150k,City Ventures,247,0,0.13
City Ventures,2012-09-04,Display Network,tmz.com,CTVN01_150k,City Ventures,586,0,0.34
City Ventures,2012-09-05,Display Network,tmz.com,CTVN01_150k,City Ventures,845,0,0.42
City Ventures,2012-09-06,Display Network,tmz.com,CTVN01_150k,City Ventures,216,0,0.11
City Ventures,2012-09-07,Display Network,tmz.com,CTVN01_150k,City Ventures,196,0,0.10
City Ventures,2012-09-08,Display Network,tmz.com,CTVN01_150k,City Ventures,97,0,0.06
City Ventures,2012-09-09,Display Network,tmz.com,CTVN01_150k,City Ventures,70,0,0.05
City Ventures,2012-09-10,Display Network,tmz.com,CTVN01_150k,City Ventures,257,0,0.11
City Ventures,2012-09-11,Display Network,tmz.com,CTVN01_150k,City Ventures,502,0,0.25
City Ventures,2012-09-12,Display Network,tmz.com,CTVN01_150k,City Ventures,427,0,0.24
Total, --, --, --, --, --,42401,19,48.90
