Name,CITIES API
Type,Geographic
Frequency,Daily
Date range,Last 7 days
Dates,"Sep 6, 2012-Sep 12, 2012"
Account,Day,Network,Country/Territory,Campaign,City,Region,Impressions,Clicks,Cost
Jacob Capital,2012-09-06,Display Network,United States,CTVN01_RTG,Vallejo,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,COMMRTG,Campbell,California,6,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,COMMRTG,Gilroy,California,2,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,COMMRTG,Los Gatos,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,COMMRTG,Milpitas,California,8,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,COMMRTG,Morgan Hill,California,10,0,0.04
Jacob Capital,2012-09-06,Display Network,United States,COMMRTG,Mountain View,California,13,0,0.08
Jacob Capital,2012-09-06,Display Network,United States,COMMRTG,Novato,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,COMMRTG,San Francisco,California,9,0,0.03
Jacob Capital,2012-09-06,Display Network,United States,COMMRTG,San Jose,California,20,0,0.06
Jacob Capital,2012-09-06,Display Network,United States,COMMRTG,San Leandro,California,5,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,COMMRTG,Santa Clara,California,6,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,COMMRTG,Sunol,California,3,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Unspecified City,California,4,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Alameda,California,7,0,0.04
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Alamo,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Albany,California,3,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Antioch,California,5,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Atherton,California,2,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Belmont,California,8,0,0.05
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Berkeley,California,26,0,0.11
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Brentwood,California,2,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Burlingame,California,3,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Campbell,California,4,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Concord,California,29,0,0.13
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Corte Madera,California,2,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Cupertino,California,9,0,0.05
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Daly City,California,2,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Danville,California,10,0,0.05
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Dublin,California,4,0,0.03
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,El Cerrito,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Emeryville,California,5,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Fairfax,California,1,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Fremont,California,16,0,0.09
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Gilroy,California,2,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Half Moon Bay,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Hayward,California,7,0,0.04
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Healdsburg,California,2,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Hercules,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Kentfield,California,4,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Lafayette,California,4,0,0.03
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Larkspur,California,2,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Livermore,California,3,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Los Altos,California,9,0,0.04
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Los Gatos,California,5,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Martinez,California,2,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Mendocino,California,1,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Menlo Park,California,37,0,0.17
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Mill Valley,California,23,0,0.11
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Millbrae,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Milpitas,California,6,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Moraga,California,3,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Morgan Hill,California,1,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Mountain View,California,43,0,0.21
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Napa,California,1,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Newark,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Novato,California,7,0,0.04
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Oakland,California,43,0,0.22
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Oakley,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Pacifica,California,1,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Palo Alto,California,121,0,0.57
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Petaluma,California,3,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Pinole,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Pittsburg,California,4,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Pleasant Hill,California,6,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Pleasanton,California,8,0,0.04
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Portola Valley,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Redwood City,California,27,0,0.12
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Rohnert Park,California,1,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Ross,California,3,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,San Anselmo,California,2,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,San Carlos,California,8,0,0.03
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,San Francisco,California,188,1,0.93
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,San Jose,California,62,0,0.32
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,San Leandro,California,2,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,San Lorenzo,California,1,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,San Mateo,California,27,0,0.16
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,San Pablo,California,2,0,0.02
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,San Rafael,California,39,0,0.20
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,San Ramon,California,9,0,0.04
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Santa Clara,California,29,0,0.17
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Santa Rosa,California,10,0,0.04
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Saratoga,California,3,0,0.02
